b,g,r
126.4740219116211,145.4945526123047,195.82046508789062
126.08711242675781,145.4020538330078,195.5418701171875
126.62519073486328,145.7433319091797,196.0371551513672
126.43155670166016,145.58544921875,195.87889099121094
126.12947082519531,145.4955596923828,195.6026153564453
126.34777069091797,145.65402221679688,195.8444061279297
126.46471405029297,145.73944091796875,195.91868591308594
126.13187408447266,145.54156494140625,195.6087646484375
126.48624420166016,145.70626831054688,195.94497680664062
126.60791015625,145.8510284423828,195.98724365234375
126.4384536743164,145.84922790527344,195.8853302001953
126.80968475341797,146.07937622070312,196.1829071044922
126.86359405517578,146.04197692871094,196.18238830566406
126.43063354492188,145.92462158203125,195.81655883789062
126.3664779663086,145.84732055664062,195.7882080078125
126.3558578491211,145.89842224121094,195.79774475097656
126.78435516357422,146.03794860839844,196.12901306152344
126.60697174072266,145.97189331054688,195.97360229492188
126.48419952392578,145.95362854003906,195.91627502441406
126.66153717041016,146.0142059326172,196.01841735839844
126.6915512084961,146.00335693359375,196.0362091064453
126.45621490478516,145.9239044189453,195.8629608154297
126.75799560546875,146.02587890625,196.07484436035156
126.72465515136719,145.98367309570312,196.02066040039062
126.40145111083984,145.81602478027344,195.76205444335938
126.68097686767578,145.8976593017578,195.94444274902344
126.65255737304688,145.87701416015625,195.9534149169922
126.33932495117188,145.73951721191406,195.6707305908203
126.6678695678711,145.82240295410156,195.88572692871094
126.73019409179688,145.91641235351562,195.99957275390625
126.36125946044922,145.69033813476562,195.65174865722656
126.61643981933594,145.76124572753906,195.83575439453125
126.62203216552734,145.7257080078125,195.81942749023438
126.34931945800781,145.61671447753906,195.59837341308594
126.73948669433594,145.79429626464844,195.92236328125
126.65882110595703,145.7613525390625,195.88168334960938
126.53450012207031,145.7198944091797,195.76185607910156
126.7276840209961,145.83697509765625,195.9541015625
126.7403335571289,145.90884399414062,195.95423889160156
126.4451675415039,145.76199340820312,195.7308807373047
126.69447326660156,145.86524963378906,195.96226501464844
126.75941467285156,145.89891052246094,195.95623779296875
126.60933685302734,145.9257354736328,195.86465454101562
126.92192840576172,146.11524963378906,196.16880798339844
126.7244644165039,145.99539184570312,196.04302978515625
126.59175872802734,145.85760498046875,195.8546142578125
126.78273010253906,146.01553344726562,196.0585174560547
126.66259002685547,145.92283630371094,195.922607421875
126.62380981445312,145.89096069335938,195.92726135253906
126.64862060546875,146.06544494628906,196.0367889404297
126.63469696044922,146.05836486816406,196.03448486328125
126.54365539550781,145.9322967529297,195.8406982421875
126.87845611572266,146.05975341796875,196.10513305664062
126.7752685546875,146.028076171875,196.02781677246094
126.58319091796875,146.01622009277344,195.85028076171875
126.86117553710938,146.1130828857422,196.0819091796875
126.84617614746094,146.08822631835938,196.03282165527344
126.52989196777344,145.9900360107422,195.81292724609375
126.9521255493164,146.06619262695312,196.1051788330078
126.76383209228516,145.95852661132812,195.94363403320312
126.49809265136719,145.8609619140625,195.76806640625
126.77218627929688,145.9112091064453,195.95494079589844
126.56719207763672,145.72769165039062,195.74522399902344
126.4289779663086,145.75205993652344,195.66749572753906
126.68955993652344,145.75830078125,195.89793395996094
126.62787628173828,145.7016143798828,195.77517700195312
126.44425964355469,145.63595581054688,195.60202026367188
126.71941375732422,145.81813049316406,195.9013671875
126.68197631835938,145.7263946533203,195.7969970703125
126.3379898071289,145.58544921875,195.54737854003906
126.78289794921875,145.83810424804688,195.9253692626953
126.66912841796875,145.77938842773438,195.84197998046875
126.44850158691406,145.66200256347656,195.65313720703125
126.39089965820312,145.60003662109375,195.6078643798828
126.22994232177734,145.548828125,195.47805786132812
126.44336700439453,145.68582153320312,195.6623077392578
126.53618621826172,145.73312377929688,195.78530883789062
126.25483703613281,145.65890502929688,195.537841796875
126.54637908935547,146.04086303710938,195.84547424316406
126.3872299194336,145.9303741455078,195.67701721191406
126.69920349121094,145.71791076660156,195.79380798339844
126.88320922851562,145.91273498535156,196.02662658691406
126.87100982666016,145.8837890625,196.00498962402344
126.44529724121094,145.82757568359375,195.74588012695312
126.75328063964844,145.9522247314453,195.9392547607422
126.86035919189453,146.055908203125,196.07286071777344
126.50433349609375,145.919189453125,195.80206298828125
126.93575286865234,146.12535095214844,196.10955810546875
